Brand,Series,Thickness,Weight,Operating System,Display Size,Display Touchscreen,Processor,Graphic Processor,RAM_Capacity_GB,RAM Type,SSD Capacity,HDD Capacity,Battery Capacity,Fingerprint scanner,Price (Rs)
Acer,Nitro V,23.5,2.1,Windows 11 Home Basic,15.6,No,intel core i5-13420h (13th gen),nvidia geforce rtx 4050,8.0,DDR5,512.0,,57.0,Yes,78990.0
HP,,18.0,1.46,Windows 11 Home Basic,14.0,No,intel celeron dual core- n4500,intel uhd,8.0,DDR4,256.0,,,,27800.0
HP,,22.5,1.77,Windows 10 Home Basic,15.6,No,intel core i3-8130u (8th gen),intel uhd 620,8.0,DDR4,,1.0,,No,33990.0
Asus,VivoBook Go,17.9,1.38,Windows 11 Home Basic,14.0,No,intel core i3-n305 (12th gen),intel uhd,8.0,DDR4,512.0,,42.0,,34990.0
Lenovo,Ideapad Slim 3i,18.8,1.4,Google Chrome,14.0,Yes,intel celeron dual core - n4020,intel uhd 600,4.0,LPDDR4,,,,,18999.0
Lenovo,IdeaPad Gaming 3,21.8,2.32,Windows 11 Home Basic,15.6,No,amd octa core ryzen 7 - 6800h,nvidia geforce rtx 3050,16.0,DDR5,512.0,,60.0,No,67890.0
Asus,TUF Gaming A17,23.3,2.6,Windows 10 Home Basic,17.3,No,amd octa core ryzen 7-4800h,nvidia geforce rtx 3050,16.0,DDR4,512.0,,,No,79990.0
Asus,VivoBook Go,17.9,1.38,Windows 11 Home Basic,14.0,No,intel core i3-n305 (12th gen),intel uhd,8.0,DDR4,512.0,,,,31990.0
Lenovo,Ideapad,21.8,2.32,Windows 11 Home Basic,15.6,No,amd octa core ryzen 7 - 6800h,nvidia geforce rtx 3050,8.0,DDR5,512.0,,60.0,,64990.0
MSI,,22.0,2.2,Windows 10 Professional,15.6,No,intel core i7-7700hq (7th gen),nvidia geforce gtx 1050ti,8.0,DDR4,128.0,1.0,,No,93999.0
Asus,TUF Gaming F15,24.9,2.2,Windows 11 Home Basic,15.6,No,intel core i7-12700h (12th gen),nvidia geforce rtx 4060,16.0,DDR4,512.0,,,,98990.0
Acer,,29.0,1.5,Windows 11 Home Basic,14.0,No,amd dual core ryzen 3-3250u,amd radeon,8.0,DDR4,512.0,,,,22999.0
MSI,,29.0,2.2,Windows 10 Home Basic,15.6,No,intel core i5-9300h (9th gen),nvidia geforce gtx 1050,8.0,DDR4,512.0,,,No,58990.0
Asus,VivoBook Ultra 14,19.1,1.4,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),nvidia geforce mx330,8.0,DDR4,512.0,,,No,64990.0
HP,,23.8,1.86,DOS,15.6,No,intel core i3-6006u (6th gen),amd radeon 520,8.0,DDR4,,1.0,,No,39007.0
HP,Pavilion,20.6,1.52,Windows 11 Home Basic,14.0,Yes,intel core i3-1125g4 (11th gen),intel uhd,8.0,DDR4,512.0,,,Yes,54990.0
Apple,MacBook Air,11.5,1.51,macOS Ventura,15.3,No,apple m2,apple m2,8.0,,256.0,,,,131521.0
Lenovo,Ideapad,22.4,2.1,Windows 10 Home Basic,15.6,No,intel core i3-6006u (6th gen),intel hd 520,4.0,DDR4,,1.0,,No,30790.0
Apple,MacBook Air,11.5,1.51,macOS Ventura,15.3,No,apple m2,apple m2,8.0,,256.0,,,,129900.0
Acer,Aspire 5,17.9,1.8,Windows 10 Home Basic,15.6,No,intel core i3-8145u (8th gen),intel uhd 620,4.0,DDR4,512.0,,,No,35990.0
Apple,MacBook Air,11.5,1.51,macOS Ventura,15.3,No,apple m2,apple m2,8.0,,512.0,,,,149900.0
Acer,Nitro 5,23.9,2.4,Windows 10 Home Basic,15.6,No,amd hexa core ryzen 5 5600h,nvidia geforce rtx 3060,16.0,DDR4,256.0,1.0,,No,81999.0
Dell,Inspiron 13,15.8,1.4,Windows 10 Home Basic,13.0,No,intel core i3-7130u (7th gen),intel hd 620,4.0,DDR4,128.0,,,,44990.0
Apple,MacBook Air,11.5,1.51,macOS Ventura,15.3,No,apple m2,apple m2,8.0,,512.0,,,,154900.0
Dell,Inspiron 14,,1.72,Windows 10 Home Basic,14.0,Yes,intel core i5-1135g7 (11th gen),intel iris xe,8.0,DDR4,512.0,,,No,60999.0
Dell,Inspiron 15,19.0,1.8,Windows 11 Home Basic,15.6,No,intel i3-1115g4 (11th gen),intel integrated,8.0,DDR4,,1.0,,,35999.0
Lenovo,Ideapad,25.0,2.25,Windows 11 Home Basic,15.6,,amd hexa core ryzen 5 5600h,nvidia geforce rtx 3050,8.0,DDR4,512.0,,,,63350.0
Dell,Inspiron 14,18.0,1.56,Windows 10,14.0,Yes,intel core i3-1125g4 (11th gen),intel uhd,8.0,DDR4,512.0,,,Yes,65500.0
Apple,MacBook Air,11.5,1.51,macOS Ventura,15.3,No,apple m2,apple m2,8.0,,512.0,,,,149890.0
Apple,MacBook Air,11.5,1.51,macOS Ventura,15.3,No,apple m2,apple m2,8.0,,256.0,,,,119900.0
HP,Victus,23.5,2.46,Windows 11 Home Basic,16.1,No,amd octa core ryzen 7-5800h,nvidia geforce rtx 3050,16.0,DDR4,512.0,,,,79990.0
HP,,17.9,1.46,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),intel uhd,8.0,DDR4,512.0,,,No,58990.0
Asus,Zenbook 14,15.2,1.17,Windows 10 Home Basic,14.0,No,intel core i7-8565u (8th gen),intel uhd 620,16.0,LPDDR3,512.0,,,,85990.0
MSI,,27.5,2.3,Windows 10 Home Basic,15.6,No,intel core i7-10750h (10th gen),nvidia geforce rtx 2070,32.0,DDR4,512.0,1.0,,No,156090.0
HP,Pavilion,17.0,1.41,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),intel iris xe,16.0,DDR4,512.0,,,No,72490.0
Lenovo,Ideapad,24.2,2.25,Windows 11 Home Basic,15.6,No,intel core i5-11320h (11th gen),nvidia geforce rtx 3050,16.0,DDR4,256.0,1.0,,,70490.0
Lenovo,Ideapad,24.9,2.2,Windows 11 Home Basic,15.6,No,amd hexa core ryzen 5 5600h,nvidia geforce gtx 1650,8.0,DDR4,512.0,,,No,61739.0
Lenovo,Ideapad Slim 5i,18.0,1.66,Windows 10 Home Basic,15.6,No,intel core i5-1135g7 (11th gen),nvidia geforce mx450,8.0,DDR4,256.0,1.0,,Yes,65990.0
MSI,GF63 Thin,80.0,1.8,Windows 11 Home Basic,15.6,No,intel core i5-11260h (11th gen),nvidia geforce gtx 1650,8.0,DDR4,512.0,,,,45990.0
Acer,,24.0,1.8,Windows 10 Home Basic,14.0,No,intel pentium dual core 4415u,intel hd 610,4.0,DDR4,,1.0,,No,29639.0
HP,Pavilion,22.5,2.0,Windows 10 Home Basic,15.6,No,intel core i5-7200u (7th gen),nvidia geforce 940mx,8.0,DDR4,,1.0,,No,61654.0
Lenovo,,20.0,1.7,Windows 11 Home Basic,15.6,No,intel core i3-1115g4 (11th gen),intel integrated,8.0,DDR4,512.0,,38.0,,30499.0
Dell,Inspiron 15,20.0,1.83,Windows 10 Home Basic,15.6,No,amd dual core ryzen 3 3250u,amd radeon,8.0,DDR4,,1.0,,No,36594.0
MSI,Katana GF66,24.9,2.25,Windows 10 Home Basic,15.6,No,intel core i7-11800h (11th gen),nvidia geforce rtx 3060,16.0,DDR4,512.0,,,,79990.0
HP,Pavilion,23.5,2.93,Windows 11 Home Basic,15.6,No,amd hexa core ryzen 5 5600h,nvidia geforce gtx 1650,8.0,DDR4,512.0,,,No,59910.0
Asus,VivoBook 15,19.9,1.8,Windows 10 Home Basic,15.6,No,intel core i5-1035g1 (10th gen),intel uhd,8.0,LPDDR4,,1.0,,Yes,44694.0
Asus,ROG Strix G15,25.8,2.3,Windows 10 Home Basic,15.6,No,intel core i7-10870h (10th gen),nvidia geforce gtx 1650 ti,16.0,DDR4,1.0,,,No,92990.0
Acer,Aspire 3,21.6,2.1,Windows 10 Home Basic,15.6,No,intel core i3-7130u (7th gen),intel hd 620,4.0,DDR4,,1.0,,No,33999.0
iBall,,25.0,1.1,Windows 10 Professional,11.6,Yes,intel celeron dual core n3350,intel hd graphics,2.0,DDR3,32.0,,,No,9990.0
Asus,X,28.0,2.0,DOS,15.6,No,intel core i3-6006u (6th gen),intel hd 520,4.0,DDR4,,1.0,,No,25990.0
HP,250,24.3,1.9,DOS,15.6,No,intel celeron dual-core n3060,intel hd,4.0,DDR4,,500.0,,No,19790.0
HP,ENVY 15,23.0,2.14,Windows 11 Professional,15.6,Yes,intel core i7-11800h (11th gen),nvidia geforce rtx 3050 ti,16.0,DDR4,1.0,,,Yes,118800.0
Lenovo,Ideapad,21.0,1.85,Windows 10 Home Basic,15.6,No,intel core i3-8145u (8th gen),intel uhd 620,4.0,DDR4,,1.0,35.0,No,35500.0
Dell,Inspiron 15,19.9,2.03,Windows 10 Home Basic,15.6,No,intel core i3-7020u (7th gen),amd radeon 520,4.0,DDR4,,1.0,,No,35390.0
HP,Spectre x360,19.9,1.92,Windows 10 Professional,15.6,Yes,intel core i5-1035g1 (10th gen),nvidia geforce gtx 1650 ti with max-q design,16.0,DDR4,512.0,,,No,183990.0
Asus,ZenBook 13,18.3,1.27,Windows 10 Home Basic,13.3,No,intel core i7-10510u (10th gen),intel uhd,16.0,DDR4,1.0,,,No,95999.0
Dell,Vostro,16.0,1.4,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),nvidia geforce mx330,8.0,DDR4,512.0,,,No,82500.0
HP,Omen,22.5,2.36,Windows 10 Home Basic,15.6,No,intel core i7-10750h (10th gen),nvidia geforce rtx 2070,16.0,DDR4,1.0,,,No,177990.0
Lenovo,,20.0,2.2,Windows 10 Home Basic,14.0,No,amd dual core a6-9225,amd radeon r4,4.0,DDR4,,1.0,,No,19999.0
Lenovo,Ideapad,22.9,2.2,Windows 10 Home Basic,15.6,No,intel core i3-7100u (7th gen),amd radeon 530,4.0,DDR4,,1.0,,No,45000.0
Asus,VivoBook Ultra,17.9,1.4,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),intel iris xe,16.0,DDR4,512.0,,,No,63990.0
Asus,TUF Gaming A15,24.9,2.3,Windows 10 Home Basic,15.6,No,amd hexa core ryzen 5 4600h,nvidia geforce gtx 1650 ti,8.0,DDR4,512.0,1.0,,No,78990.0
Lenovo,Ideapad,,1.6,Windows 10 Home Basic,14.0,,intel core i3-1005g1 (10th gen),intel uhd,8.0,DDR4,,1.0,,No,40490.0
MSI,,16.9,1.79,Windows 10 Professional,15.6,No,intel core i7-1185g7 (11th gen),nvidia geforce gtx 1650 ti max-q,16.0,DDR4,1.0,,,No,156990.0
HP,,24.3,2.0,Windows 10 Home Basic,15.6,No,intel core i3-6006u (6th gen),intel hd 520,4.0,DDR4,,1.0,,No,42815.0
Acer,Aspire,24.6,2.4,Linux,15.6,No,intel core i3-6006u (6th gen),intel hd 520,4.0,DDR3,,1.0,,No,28200.0
Asus,VivoBook Go,17.9,1.63,Windows 11 Home Basic,15.6,No,intel core i3-n305 (12th gen),intel uhd,8.0,DDR4,512.0,,,,35599.0
Acer,Nitro 5,23.9,2.4,Windows 11 Home Basic,15.6,No,amd hexa core ryzen 5 - 5600h,nvidia geforce rtx 3060,16.0,DDR4,512.0,1.0,,No,99999.0
HP,Omen,69.0,2.38,Windows 11 Home Basic,16.1,No,amd octa core ryzen 9 - 7940hs,nvidia geforce rtx 4070,32.0,DDR4,1.0,,83.0,,189990.0
Asus,VivoBook 15X OLED,17.9,1.6,Windows 11 Home Basic,15.6,No,intel core i5-1335u (13th gen),intel iris xe,16.0,DDR4,512.0,,50.0,,65990.0
Asus,VivoBook 15,67.0,1.7,Windows 11 Home Basic,15.6,No,intel core i5-1335u (13th gen),intel integrated,16.0,DDR4,512.0,,,Yes,62990.0
Lenovo,Ideapad Gaming 3i,24.0,2.2,Windows 11 Home Basic,15.6,No,intel core i5-11320h (11th gen),nvidia geforce gtx 1650,16.0,DDR4,512.0,,,No,54950.0
Asus,Zenbook 14,17.0,1.35,Windows 11 Home Basic,14.0,No,amd octa core ryzen 7 - 7730u,amd radeon,16.0,DDR5,512.0,,,Yes,69990.0
Asus,Zenbook 14,17.0,1.35,Windows 11 Home Basic,14.0,No,amd hexa core ryzen 5 - 7530u,amd radeon,16.0,DDR5,512.0,,,Yes,64990.0
Asus,TUF Gaming A15,10.4,2.2,Windows 11 Home Basic,15.6,No,amd octa core ryzen 9 - 7940hs,nvidia geforce rtx 4060,16.0,DDR5,1.0,,,,125990.0
Dell,Inspiron 15,21.7,2.1,Ubuntu,15.6,No,intel core i5-5200u (5th gen),nvidia geforce 920m,4.0,DDR3,,1.0,,No,31590.0
HP,ENVY 15,23.0,2.18,Windows 11 Professional,,Yes,intel core i9-11900h (11th gen),nvidia geforce rtx 3060,32.0,DDR4,1.0,,,Yes,189400.0
Asus,Zenbook 14,17.0,1.35,Windows 11 Home Basic,14.0,No,amd octa core ryzen 7 -7730u,amd radeon,16.0,DDR5,1.0,,,Yes,91990.0
Acer,Extensa,19.9,1.9,Windows 11 Home Basic,15.6,No,intel core i5-1135g7 (11th gen),intel iris xe,12.0,DDR4,512.0,,,,48990.0
Lenovo,,20.0,1.55,DOS,14.0,No,intel core i3-8130u (8th gen),intel uhd 620,4.0,DDR4,,1.0,,No,29490.0
Dell,,20.4,1.6,Windows 10,15.6,Yes,intel core i7-7500u (7th gen),intel hd 520,8.0,DDR4,,1.0,,No,68499.0
Asus,TUF Gaming F15,24.9,2.24,Windows 10 Home Basic,15.6,No,intel core i5-10300h (10th gen),nvidia geforce gtx 1660ti,16.0,DDR4,1.0,,,No,86110.0
Dell,Inspiron 15,22.0,1.83,Windows 10 Home Basic,15.6,No,intel core i3-1005g1 (10th gen),intel uhd,4.0,DDR4,,1.0,,No,37690.0
Lenovo,Ideapad,,,DOS,15.6,No,intel core i5 8250u (8th gen),amd radeon 520,4.0,DDR4,,1.0,,No,42078.0
Lenovo,Ideapad,22.9,2.2,DOS,15.6,No,intel core i3-6100u (6th gen),nvidia geforce n16v-gmr1,4.0,DDR4,,1.0,,No,35701.0
Lenovo,Ideapad Yoga,20.9,1.7,Windows 10,14.0,Yes,intel core i3-7100u (7th gen),intel hd,4.0,DDR4,,1.0,,No,48590.0
Lenovo,,,1.85,DOS,14.0,No,intel core i3-7020u (7th gen),intel hd 620,4.0,DDR4,,1.0,,No,24420.0
Dell,Inspiron 15,20.0,1.83,Windows 10 Home Basic,15.6,No,intel core i5-1135g7 (11th gen),intel iris xe,8.0,DDR4,256.0,1.0,,No,61990.0
Lenovo,Legion,22.4,2.2,Windows 10 Home Basic,15.6,No,intel core i7-9750h (9th gen),nvidia geforce rtx 2070,16.0,DDR4,1.0,,57.0,No,117294.0
Asus,VivoBook 15,22.9,1.9,Windows 10 Home Basic,15.6,No,intel core i5-1035g1 (10th gen),intel uhd,8.0,DDR4,256.0,1.0,,Yes,56990.0
Lenovo,,23.0,1.85,Windows 10 Home Basic,15.6,No,amd quad core a4-9225,amd radeon,8.0,DDR4,,1.0,,No,24999.0
Lenovo,Ideapad Slim 3i,20.0,1.41,Windows 10 Home Basic,14.0,No,intel core i5-1135g7 (11th gen),intel iris xe,8.0,DDR4,512.0,,,No,60940.0
HP,Pavilion,19.9,1.54,Windows 10 Home Basic,14.0,No,intel core i5-8250u (8th gen),nvidia geforce mx130,8.0,DDR4,,1.0,,No,63790.0
Asus,TUF Gaming F15,24.5,2.3,Windows 10 Home Basic,15.6,No,intel core i5-11400h (11th gen),nvidia geforce rtx 3050,8.0,DDR4,1.0,,,No,90970.0
Asus,VivoBook Pro 15,65.0,3.24,Windows 11 Home Basic,15.6,No,intel core i9-11900h (11th gen),nvidia geforce rtx 3050,16.0,DDR4,512.0,,,,85020.0
Lenovo,Ideapad,19.9,1.8,Windows 10 Home Basic,15.6,No,amd dual core ryzen 3 3250u,amd radeon,4.0,DDR4,,1.0,,No,33990.0
Dell,Inspiron 15,23.5,1.68,Windows 11 Home Basic,15.6,No,amd octa core ryzen 7 - 5825u,amd radeon,8.0,DDR4,512.0,,,,66190.0
HP,Omen,22.5,2.36,Windows 10 Home Basic,15.6,No,intel core i7-10750h (10th gen),nvidia geforce gtx 1660 ti,16.0,DDR4,1.0,,,No,129990.0
MSI,Sword 16 HX,,2.3,Windows 11 Home Basic,16.0,No,intel core i9 - 13980hx (13th gen),nvidia geforce rtx 4060,32.0,DDR5,1.0,,,,139990.0
Asus,Vivobook,18.9,1.4,Windows 11 Home Basic,14.0,No,intel core i5-13500h (13th gen),nvidia geforce rtx 2050,16.0,DDR4,512.0,,,Yes,74990.0
Lenovo,Ideapad,8.5,0.51,Windows 10 Professional,10.1,Yes,intel celeron dual core n4000,intel uhd 600,4.0,LPDDR4,128.0,,,No,27260.0
Lenovo,Ideapad,20.0,1.85,Windows 10 Home Basic,15.6,No,intel core i3-8145u (8th gen),nvidia geforce mx110,8.0,DDR4,,1.0,,No,42900.0
Lenovo,Thinkpad,,1.38,Windows 10 Professional,13.3,No,intel core i7-10510u (10th gen),intel uhd,16.0,DDR4,512.0,,,No,99990.0
Asus,Zenbook 14,14.9,1.22,Windows 11 Home Basic,14.0,No,intel core ultra 7 - 155h,intel arc,16.0,LPDDR5X,1.0,,75.0,,109990.0
Lenovo,Ideapad Slim 5i,18.0,1.4,Windows 11 Home Basic,14.0,No,intel core i5-1155g7 (11th gen),nvidia geforce mx 450,16.0,DDR4,512.0,,56.0,No,81850.0
Lenovo,ThinkPad E16,,1.77,DOS,16.0,No,intel core i3-1315u (13th gen),intel uhd,8.0,DDR4,512.0,,47.0,Yes,47990.0
Asus,VivoBook 16,66.0,1.88,Windows 11 Home Basic,16.0,No,intel core i9-13900h (13th gen),intel iris xe,16.0,DDR4,1.0,,42.0,Yes,89990.0
Lenovo,Thinkpad,18.9,1.55,Windows 10 Professional,14.0,No,intel core i5-10210u (10th gen),intel uhd,8.0,DDR4,512.0,,,No,109999.0
Dell,XPS,20.0,1.5,Windows 8,12.5,Yes,intel core i5-3317u (3rd gen),intel hd 4000,4.0,DDR3,128.0,,,No,74990.0
Lenovo,Ideapad,71.0,1.4,Windows 11 Home Basic,14.0,No,amd hexa core ryzen 5 - 7530u,amd radeon,16.0,DDR4,1.0,,56.6,No,58390.0
MSI,Raider GE68 HX,28.0,2.7,Windows 11 Home Basic,16.0,No,intel core i9-13950hx (13th gen),nvidia geforce rtx 4070,32.0,DDR5,2.0,,99.0,,214990.0
Asus,Zenbook 14,14.9,1.22,Windows 11 Home Basic,14.0,No,intel core ultra 5 - 125h,intel arc,16.0,LPDDR5X,1.0,,75.0,,96990.0
Asus,ROG Zephyrus G14,20.5,1.72,Windows 11 Home Basic,14.0,No,amd octa core ryzen 9 - 7940hs,nvidia geforce rtx 4080,32.0,DDR5,1.0,,,,211990.0
MSI,Bravo 15,80.0,2.25,Windows 11 Home Basic,15.6,No,amd hexa core ryzen 5 - 7535hs,nvidia geforce rtx 4050,16.0,DDR5,512.0,,,,78990.0
Dell,Alienware,25.4,3.25,Windows 11 Home Basic,16.0,No,intel core i9-13900hx (13th gen),nvidia geforce rtx 4080,32.0,DDR5,1.0,,,,257490.0
Lenovo,Thinkpad,31.0,2.8,Windows 10 Professional,15.6,No,intel core i7-11850h (11th gen),nvidia t1200,32.0,DDR4,512.0,,,Yes,142999.0
Lenovo,ThinkBook,18.9,1.7,Windows 10 Home Basic,15.0,No,intel core i5-1135g7 (11th gen),intel iris xe,16.0,DDR4,256.0,1.0,,Yes,56990.0
Asus,ROG Strix G15,43.0,1.9,Windows 11 Home Basic,15.6,No,amd quad core ryzen 7- 4800h,amd radeon rtx3050,16.0,DDR4,512.0,,,,81772.0
HP,Spectre,16.9,1.36,Windows 11 Home Basic,13.5,Yes,intel core i5-1235u (12th gen),intel iris xe,8.0,LPDDR4X,512.0,,66.0,Yes,106000.0
Asus,Zenbook 14,16.9,1.39,Windows 11 Home Basic,14.0,Yes,intel core i5-1340p (13th gen),intel iris xe,16.0,LPDDR5,512.0,,,Yes,79000.0
Lenovo,Thinkpad,17.9,1.47,DOS,14.0,No,amd octa core ryzen 7 pro - 4750u,amd integrated,8.0,DDR4,512.0,,,,76499.0
HP,Victus,23.5,2.46,Windows 11 Home Basic,16.1,No,intel core i5-11400h (11th gen),nvidia geforce gtx 1650,8.0,DDR4,512.0,,,,49990.0
Lenovo,Thinkpad,21.0,1.8,Windows 11 Professional,16.0,No,intel core i7-1260p (12th gen),nvidia geforce t550,16.0,DDR4,1.0,,,Yes,146500.0
Asus,PRO,23.2,1.6,Windows 10 Home Basic,14.0,No,intel core i3-8145u (8th gen),intel hd 620,4.0,DDR4,,1.0,,No,57499.0
Lenovo,,,1.85,Windows 10 Home Basic,14.0,No,intel core i3-7020u (7th gen),intel hd 620,4.0,DDR4,,1.0,,No,39990.0
Lenovo,Ideapad Slim 3i,19.0,1.6,Windows 10 Home Basic,15.6,No,intel core i5-1135g7 (11th gen),intel iris xe,8.0,DDR4,512.0,,,No,42990.0
Asus,ZenBook 15,18.9,1.65,Windows 10 Home Basic,15.6,No,intel core i7-10510u (10th gen),nvidia geforce gtx 1650 max q,16.0,LPDDR3,1.0,,,No,129990.0
Lenovo,Yoga S,14.9,1.4,Windows 10 Home Basic,14.0,No,intel core i7-1065g7 (10th gen),nvidia geforce mx250,16.0,LPDDR4X,1.0,,,No,100000.0
Lenovo,Ideapad,22.9,2.2,DOS,15.6,No,intel pentium quad-core n3710,intel hd,4.0,DDR3,,1.0,,No,26632.0
Lenovo,,18.4,1.25,Google Chrome,11.6,Yes,intel celeron dual core- n4500,intel uhd,4.0,LPDDR4X,,,,No,26890.0
Asus,TUF Gaming F15,80.0,4.0,Windows 10 Home Basic,15.6,No,intel core i5-11400h (11th gen),nvidia geforce rtx 3050 ti,16.0,DDR4,1.0,,,No,62990.0
HP,Envy 13,13.9,1.32,Windows 10 Professional,13.3,No,intel core i5- 8250u (8th gen),intel uhd 620,8.0,LPDDR3,128.0,,,No,76990.0
Asus,VivoBook 15,17.9,1.7,Windows 10 Home Basic,15.6,No,intel core i5-1135g7 (11th gen),nvidia geforce mx330,8.0,DDR4,,1.0,,No,69990.0
Dell,G3 15,21.6,2.34,Windows 10 Home Basic,15.6,No,intel core i5-10300h (10th gen),nvidia geforce gtx 1650,8.0,DDR4,512.0,,,No,74990.0
Asus,TUF Dash F15,24.7,2.0,Windows 10 Home Basic,15.6,No,intel core i5-11300h (11th gen),nvidia geforce rtx 3050,8.0,DDR4,1.0,,,No,77990.0
Lenovo,ThinkBook,17.0,1.5,DOS,14.0,No,intel core i5-10210u (10th gen),intel uhd,8.0,DDR4,512.0,,,No,58989.0
HP,ZBook,26.0,2.6,Windows 10 Professional,15.6,No,intel core i7-9750h (9th gen),nvidia quadro t1000,16.0,DDR4,1.0,,,No,172000.0
Lenovo,Thinkpad,18.0,1.55,Windows 10 Professional,14.0,No,intel core i7-8565u (8th gen),intel uhd,8.0,DDR4,512.0,,,No,123390.0
Lenovo,Thinkpad,24.5,2.45,Windows 10 Home Basic,15.6,No,intel core i7-8750h (8th gen),nvidia quadro p1000,16.0,DDR4,512.0,,,Yes,181599.0
Lenovo,Ideapad,16.9,1.8,Windows 10 Home Basic,15.6,No,intel core i5-8265u (8th gen),nvidia geforce mx250,8.0,DDR4,512.0,,,Yes,62990.0
Lenovo,Thinkpad,18.9,1.55,Windows 10 Professional,14.0,Yes,intel core i5-8265u (8th gen),intel uhd 620,16.0,DDR4,512.0,,,Yes,105690.0
HP,ZBook,17.9,1.48,Windows 10 Professional,14.0,No,intel core i7-8565u (8th gen),amd radeon pro wx 3200,8.0,DDR4,512.0,,,No,112990.0
Lenovo,,16.9,1.8,Windows 10 Home Basic,15.6,No,intel core i7-8565u (8th gen),nvidia geforce mx250,8.0,DDR4,1.0,,,Yes,85990.0
Asus,VivoBook 15,25.0,1.6,Windows 10 Home Basic,15.6,No,intel core i3-1005g1 (10th gen),intel uhd,4.0,DDR4,,1.0,,Yes,36200.0
Acer,Aspire 5,25.4,2.4,Windows 10 Home Basic,15.6,No,intel core i3-8130u (8th gen),intel uhd 620,4.0,DDR4,,1.0,,No,27990.0
Lenovo,Ideapad,24.6,2.3,DOS,15.6,No,intel core i3-6006u (6th gen),intel hd 520,4.0,DDR4,,1.0,,No,23990.0
HP,,19.9,1.48,Windows 10 Home Basic,14.0,No,intel core i5-8265u (8th gen),intel uhd 620,8.0,DDR4,512.0,,,No,62300.0
Lenovo,Thinkpad,18.8,1.46,DOS,13.3,Yes,intel core i3-8130u (8th gen),intel uhd 620,8.0,DDR4,256.0,,,Yes,68999.0
HP,,22.5,1.77,Windows 10 Home Basic,15.6,No,intel core i3-7020u (7th gen),nvidia geforce mx110,4.0,DDR4,,1.0,,No,37980.0
Lenovo,Thinkpad,,1.42,Windows 10 Professional,13.3,Yes,intel core i7-8550u (8th gen),intel uhd 620,8.0,DDR4,512.0,,,Yes,162999.0
Acer,Extensa,20.0,1.7,Windows 10 Home Basic,15.6,No,intel core i3-1115g4 (11th gen),intel uhd,4.0,DDR4,,1.0,,,34000.0
Asus,X,27.6,2.0,DOS,15.6,No,intel celeron dual core n3350,intel hd graphics,4.0,DDR3,,500.0,,,22000.0
Lenovo,,,2.2,DOS,15.6,No,intel core i3-1035g1 (10th gen),intel uhd,4.0,DDR4,,1.0,,,39999.0
Lenovo,Ideapad,22.7,2.1,Windows 10 Home Basic,15.6,No,intel core i3-7020u (7th gen),intel hd 620,4.0,DDR4,,1.0,,No,28990.0
Asus,TUF Gaming A15,,2.3,Windows 10 Home Basic,15.6,No,amd octo core ryzen 7 4800h,nvidia geforce gtx 1650 ti,8.0,DDR4,512.0,1.0,,No,94500.0
Lenovo,Thinkpad,18.4,1.31,Windows 10 Professional,14.0,No,intel core i5-8250u (8th gen),nvidia geforce mx150,16.0,DDR4,512.0,,,Yes,137900.0
HP,240,19.9,1.47,DOS,14.0,No,intel core i3-1115g4 (11th gen),intel iris xe graphics,8.0,DDR4,512.0,,,No,99999.0
Lenovo,Ideapad,23.0,2.2,DOS,15.6,No,intel core i5-8265u (8th gen),nvidia geforce mx110,8.0,DDR4,,1.0,,No,44990.0
Dell,G3 15,21.6,2.34,Windows 10 Home Basic,15.6,No,intel core i7-10750h (10th gen),nvidia geforce gtx 1650 ti,16.0,DDR4,256.0,1.0,,No,92500.0
HP,Pavilion,20.0,1.52,Windows 11 Home Basic,14.0,Yes,intel core i5-1155g7 (11th gen),intel intel iris xe,8.0,DDR4,512.0,,,Yes,59990.0
Lenovo,Thinkpad,18.9,1.55,Windows 10 Professional,14.0,No,intel core i7-10510u (10th gen),nvidia geforce mx250,8.0,DDR4,512.0,,,Yes,129614.0
Asus,ROG Strix G15,25.0,2.3,Windows 10 Home Basic,15.6,No,intel core i7-10750h (10th gen),nvidia geforce gtx 1660 ti,16.0,DDR4,1.0,,,No,92990.0
Asus,Vivobook,67.0,1.8,Windows 11 Home Basic,16.0,No,intel core i7-12650h (12th gen),nvidia geforce rtx 4060,16.0,DDR4,512.0,,,Yes,97500.0
Asus,Zenbook 14,16.9,1.15,Windows 10 Home Basic,14.0,No,intel core i7-10510u (10th gen),intel uhd,16.0,LPDDR3,1.0,,,No,82979.0
Lenovo,ThinkBook,18.0,1.4,Windows 11 Professional,14.0,No,intel core i5-1135g7 (11th gen),intel integrated,8.0,DDR4,512.0,,,,85000.0
Lenovo,ThinkBook,17.9,1.5,Windows 10 Professional,14.0,No,intel core i3-1005g1 (10th gen),intel uhd,4.0,DDR4,,1.0,,No,51400.0
HP,Omen,26.0,2.25,Windows 10 Home Basic,15.6,No,intel core i7-8750h (8th gen),nvidia geforce gtx 1060,16.0,DDR4,128.0,1.0,,No,143696.0
